X,Y,fid,LocationName,PermitNumber,LocationGridRef,X,Y,ReceivingWaterCourse,AlertStatus,StatusChange,AlertPast48Hours,MostRecentDischargeAlertStart,MostRecentDischargeAlertStop,icon_url
-0.860623340496322,51.8257577890119,"1",Aylesbury,CSSC.0315,SP78621474,"478620","214740",River Thame,Not discharging,2024/03/13 23:45:00,False,2024-03-12T12:30:00,2024-03-13T23:45:00,./0.png
-0.931139531417825,51.8014237080489,"2",Cuddington,CSSC.2446,SP73801196,"473800","211960",River Thame,Discharging,2024/03/26 12:45:00,True,2024-03-26T12:45:00,,./0.png
-0.923245250537225,51.7614298809118,"3",Haddenham,CSSC.2316,SP74410752,"474410","207520",Scotsgrove Brook,Not discharging,2024/03/16 11:15:00,False,2024-03-16T10:45:00,2024-03-16T11:15:00,./0.png
-0.98724919552793,51.769731205395,"4",Long Crendon,CTCR.1781,SP69980838,"469980","208380",Crendon Stream,Not discharging,2024/03/02 19:30:00,False,2024-03-02T18:30:00,2024-03-02T19:30:00,./0.png
-0.86865920440325,51.7887907775309,"5",Stone,CSSC.2319,SP78131062,"478130","210620",Scotsgrove Brook,Discharging,2024/03/26 21:45:00,True,2024-03-26T21:45:00,,./0.png
-0.947742728566594,51.7111197287232,"6",Manor Farm,TEMP.1450,SP728019,"472800","201900",Sydenham Stream,Offline,2024/03/21 06:00:00,False,,,./0.png
-1.0102899531766,51.7167882248939,"7",Tetsworth,TEMP.2949,SP68470247,"468470","202470",Latchford Brook,Not discharging,2024/03/13 00:00:00,False,2024-03-12T19:15:00,2024-03-13T00:00:00,./0.png
-0.76923448575807,51.8513618073195,"8",Rowsham,CSSC.1419,SP84871769,"484870","217690",Rowsham Brook,Not discharging,2024/03/12 18:45:00,False,2024-03-12T11:00:00,2024-03-12T18:45:00,./0.png
-0.765874366114753,51.9157947104695,"9",Stewkley,CSSC.2368,SP84982486,"484980","224860",Hardwick Brook,Discharging,2024/03/12 14:00:00,True,2024-03-12T14:00:00,,./0.png
-1.06263650334738,51.6843986361341,"10",Chalgrove,CSSC.2465,SU64909882,"464900","198820",Warpsgrave Ditch,Discharging,2024/03/27 17:30:00,True,2024-03-27T17:30:00,,./0.png
-1.16312801841885,51.6394808221547,"11",Dorchester,TEMP.2542,SU58019374,"458010","193740",River Thame,Not discharging,2024/03/28 02:34:00,True,2024-03-28T02:30:00,2024-03-28T02:34:00,./0.png
-1.14494772864017,51.7685560237462,"12",Forest Hill,TEMP.2597,SP59100811,"459100","208110",Polecat End Ditch,Not discharging,2024/01/29 15:15:00,False,2024-01-29T14:45:00,2024-01-29T15:15:00,./0.png
-1.12311673308379,51.8032813781028,"13",Horton-Cum-Studley,CNTD.0008,SP60561199,"460560","211990",Danes Brook,Discharging,2024/03/28 02:45:00,True,2024-03-28T02:45:00,,./0.png
-1.10282318922309,51.7003574176264,"14",Little Milton,TEMP.2725,SP62100056,"462100","200560",Gainsbridge Brook,Discharging,2024/03/26 15:30:00,True,2024-03-26T15:30:00,,./0.png
-1.04163705267086,51.7609259786134,"15",Shabbington,CSSC.1429,SP66240735,"466240","207350",Shabbington Brook,Discharging,2024/03/28 12:00:00,True,2024-03-28T12:00:00,,./0.png
-1.15192484009323,51.782902666628,"16",Stanton St John,TEMP.2913,SP586097,"458600","209700",Moorbridge Brook,Offline,2022/06/21 12:00:00,False,,,./0.png
-0.970613319303598,51.7556500772515,"17",Thame,CTCR.1158,SP71150683,"471150","206830",Lashlake Stream,Discharging,2024/03/28 03:45:00,True,2024-03-28T03:45:00,,./0.png
-1.02713882731969,51.6533591588285,"18",Watlington,TEMP.2997,SU674954,"467400","195400",Pyrton Stream,Discharging,2024/03/28 11:15:00,True,2024-03-28T11:15:00,,./0.png
-1.12184550891059,51.7417714724,"19",Wheatley,CSSC.2332,SP60730515,"460730","205150",Wheatley Ditch,Discharging,2024/03/26 13:15:00,True,2024-03-26T13:15:00,,./0.png
-1.05927411176664,51.7768032433657,"20",Worminghall,CTCR.1975,SP650091,"465000","209100",Worminghall Brook,Not discharging,2024/03/28 11:45:00,True,2024-03-28T07:00:00,2024-03-28T11:45:00,./0.png
-0.914186354040565,51.8551265254092,"21",Waddesdon,CNTD.0052,SP74881795,"474880","217950",Fleet Marston Brook,Discharging,2024/03/28 02:45:00,True,2024-03-28T02:45:00,,./0.png
-0.900855759237532,51.7227391865623,"22",Chinnor,CNTD.0028,SP76020324,"476020","203240",Henton Stream,Discharging,2024/03/28 02:45:00,True,2024-03-28T02:45:00,,./0.png
-0.845572670695513,51.7276040989184,"23",Princes Risborough,CTCR.1642,SP79830384,"479830","203840",Horsenden Stream,Discharging,2024/03/28 11:30:00,True,2024-03-28T11:30:00,,./0.png
-0.672211938334065,51.8279179758413,"24",Marsworth,TEMP.2766,SP916152,"491600","215200",River Thame,Not discharging,2024/03/12 21:00:00,False,2024-03-12T11:15:00,2024-03-12T21:00:00,./0.png
-0.661139588385015,51.8098093693323,"25",Tring,TEMP.2961,SP924132,"492400","213200",Marsworth Reservoir (Grand Union Canal),Not discharging,2023/09/20 21:30:00,False,2023-09-20T19:45:00,2023-09-20T21:30:00,./0.png
-0.66986812874077,51.818810045008,"26","Watery Lane, Startops End",CNTM.0145,SP91781419,"491780","214190",Tring Bourne,Not discharging,2023/11/27 11:30:00,False,,,./0.png
-0.745463395502605,51.8603719047616,"27",Wingrave,CSSC.2320,SP86491872,"486490","218720",Tributary of Rowsham Brook,Discharging,2024/03/28 02:45:00,True,2024-03-28T02:45:00,,./0.png
-1.00841663510746,51.8222411113782,"28",Dorton,TEMP.2544,SP68441420,"468440","214200",Dorton Brook,Not discharging,2024/03/28 07:45:00,True,2024-03-28T06:45:00,2024-03-28T07:45:00,./0.png
