X,Y,fid,ObjectID,GlobalID,Site Name,Sample Date,Sample Time,Submitted Date,Freshwater body type,What is the main land use within 50m?,Is there any of the following on the water surface?,Which of these best describes the dominant form of algae present?,Can you see any litter (including litter caught in vegetation)?,Which of the following sources of plastic pollution can you see?,Are there any pollution sources in the immediate surroundings? (select all that apply),Can you see any of the following water uses right now? (select all that apply),What aquatic life is there evidence of? (select all that apply),Has there been any rain during the last 24 hours?,Estimate the water flow,Estimate the water level,Estimate the waterway width (by measuring the widest bank distance at your current location) (m),Nitrate (mg/L),Phosphate (mg/L),Water quality - Secchi Tube (Turbidity),Estimate the water colour,feedback_eng,feedback_core,notes,sort_order_nitrates,sort_order_phosphates,sort_order_turbidity,icon_url
-1.148300977,51.67613814,"1","306185",3b696ce3-7273-480f-ac61-da3e453d34ad,Baldon all,03/12/2022,10:35:00,03/12/2022 11:49:29,Stream,Arable_agricultural,,No_algae,No,,Agricultural_runoff,,,,Slow,Low,1-2,5-10,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Stadhampton water level 0.98m,"6","2","1",./0.png
-1.148316596,51.67613156,"2","306222",e1a831ce-18d9-447c-8bcc-e356ff7d6d86,Baldon all,07/01/2023,11:00:00,07/01/2023 12:14:21,Stream,Arable_agricultural,,No_algae,No,,Agricultural_runoff,,,Light_showers,Steady,Average,1-2,5-10,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. Potential sources of nitrate pollution include fertiliser runoff, sewage discharge and livestock activities. Have you observed any pollution source near the waterbody? It would be helpful if you could add this information by editing your data record to include these observations. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Current stadhamptom level. In flood.2.11mts,"6","2","1",./0.png
-1.148354374,51.6761389,"3","306255",38b81f54-cd3f-4912-8ca6-08b41ba850c5,Baldon all,04/02/2023,10:45:00,04/02/2023 11:31:25,Stream,Arable_agricultural,,No_algae,No,,Agricultural_runoff,,,,Steady,Low,1-2,1-2,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","1","1",./0.png
-1.148404501,51.67618448,"4","306290",d5a03621-a09d-4ef5-b40e-697e8c118651,Baldon all,04/03/2023,08:45:00,04/03/2023 11:02:01,Stream,Arable_agricultural,,,No,,Agricultural_runoff,,Plants_emerging_from_water,,Slow,Low,1-2,0.5-1,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"3","1","1",./0.png
-1.14832068,51.67613673,"5","306322",9d513763-27bc-42b7-b2db-93012d96ecb7,Baldon all,01/04/2023,09:30:00,01/04/2023 09:42:07,Stream,Arable_agricultural,,No_algae,No,,Agricultural_runoff,,,Heavy_prolonged,Surging,High,3-5,0.5-1,<0.02,>240_NTU,Brown,"Your dataset indicates that this waterbody has a poor ecological status. High turbidity harms aquatic life by reducing food supplies, degrading habitat, and impairing fish activities. This high turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) have a significant impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a poor ecological status. High turbidity harms aquatic life by reducing food supplies, degrading habitat, and impairing fish activities. This high turbidity level indicates that land use activities in the catchment (e.g. agriculture, construction etc.) have a significant impact on the waterbody. Have you identified any such activities?  It would be very helpful if you could add this information by editing your data record to include this observation. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Stadhampton water level 2.32mts,"3","1","15",./0.png
-1.148323853,51.67617636,"6","306355",f90ed4c2-6e56-45d0-8911-c22a9e8bd12c,Baldon all,06/05/2023,07:00:00,06/05/2023 07:57:30,Stream,Arable_agricultural,,No_algae,In_on_the_water,,Agricultural_runoff,,Plants_emerging_from_water,Light_showers,Slow,Low,1-2,1-2,<0.02,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",Chiselhampton river level 1.05,"4","1","1",./0.png
-1.148293555,51.67615686,"7","306391",f6f923c4-b793-4f3d-9022-6724782380fd,Baldon all,03/06/2023,08:30:00,03/06/2023 13:24:36,Stream,Arable_agricultural,,Attached,No,,Agricultural_runoff,,,,Slow,Low,1-2,0.2-0.5,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a very good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"2","2","1",./0.png
-1.154647827,51.71038123,"8","306462",869d9851-48a3-42a3-9f7d-72021226f214,Lower Thame at Chippinghurst ,05/08/2023,09:48:00,05/08/2023 09:35:25,River,Mixed_agricultural,,No_algae,No,,Agricultural_runoff,,"Plants_below_surface,Plants_emerging_from_water",Heavy_prolonged,Steady,Average,3-5,1-2,0.1-0.2,17_NTU,Brown,"Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ","Your dataset indicates that this waterbody has a good ecological status. Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ",,"4","4","3",./0.png
-1.148360233,51.67617933,"9","306464",de31682b-6917-473a-b712-4b87caddbad8,Baldon all,05/08/2023,08:30:00,05/08/2023 10:06:45,Stream,Arable_agricultural,,No_algae,No,,Agricultural_runoff,,,Light_showers,Slow,Low,1-2,0.5-1,0.2-0.5,<14_NTU,Colourless,Your dataset indicates that this waterbody has a moderate ecological status. Moderately elevated phosphate concentrations can favour the formation of algal blooms. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,Your dataset indicates that this waterbody has a moderate ecological status. Moderately elevated phosphate concentrations can favour the formation of algal blooms. These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements. ,,"3","5","1",./0.png
-1.154463764,51.71033882,"10","306541",8ac63a1e-89cc-45bd-ba96-11a87069efc7,Lower Thame at Chippinghurst,07/10/2023,11:07:00,07/10/2023 10:28:48,Stream,Mixed_agricultural,,No_algae,No,,,,"Plants_below_surface,Plants_emerging_from_water,Aquatic_birds",,Steady,Average,6-10,0.2-0.5,0.02-0.05,<14_NTU,Colourless,"Your dataset indicates that this waterbody has a very good ecological status.Nutrient concentrations and turbidity are low, and there is no evidence of algal blooms or sediment loads.These values are expected to vary throughout the year as a result of weather patterns and changes in land use. Please help us to better understand this ecosystem by continuing to make measurements.",,,"2","2","1",./0.png
